Question No,Question,Option A,Option B,Option C,Option D,Answer,Tag
1,Which of the following is a measure of central tendency?,Variance,Standard Deviation,Median,Interquartile Range,C,Pure AI
2,Which measure of central tendency is most affected by extreme outliers?,Median,Mode,Mean,IQR,C,Pure AI
3,"P(A and B) = P(A) × P(B) holds true when events A and B are:",Mutually exclusive,Independent,Conditional,Complementary,B,Pure AI
4,The Central Limit Theorem is important because it:,Proves all data is normally distributed,Allows us to make inferences using the normal distribution regardless of population shape,Eliminates the need for sampling,Guarantees zero bias in estimates,B,Pure AI
5,A GroupBy operation in Pandas follows which pattern?,Filter → Sort → Select,Split → Apply → Combine,Load → Clean → Export,Merge → Join → Concat,B,Pure AI
6,A box plot displays all of the following EXCEPT:,Median,Interquartile Range,Mean,Outliers,C,Pure AI
7,"In a correlation heatmap, a cell with a value close to +1 between two features means:",The features have a strong positive linear relationship,One feature causes the other,The features are unrelated,Both features have missing values,A,Pure AI
8,Feature engineering involves:,Removing all features from the dataset,Creating new informative features derived from existing ones,Selecting only numerical features,Scaling features to unit variance,B,Pure AI
9,The primary goal of Exploratory Data Analysis (EDA) is to:,Build a final predictive model,"Understand patterns, relationships, anomalies, and structure in the data before modelling",Deploy a machine learning pipeline,Optimize hyperparameters,B,Pure AI
10,What is the most common train-test split ratio used in machine learning?,50-50,80-20,90-10,60-40,B,Pure AI
11,Which imputation method is most robust to outliers?,Mean imputation,Mode imputation,Median imputation,Zero imputation,C,Pure AI
12,One-Hot Encoding creates:,A single numeric column for all categories,A binary column for each unique category,Ordinal ranks for categories,Frequency-based values for categories,B,Pure AI
13,Which statistical test is commonly used for feature selection with categorical features and a categorical target?,Pearson correlation,Chi-square test,T-test,ANOVA,B,Pure AI
14,What does PCA (Principal Component Analysis) do?,Selects the best original features,Transforms features into a lower-dimensional space retaining maximum variance,Removes all correlated features,Creates new features by combining labels,B,Pure AI
15,Before applying PCA data should ideally be:,Label encoded,Standardized (zero mean unit variance),One-hot encoded,Log transformed,B,Pure AI
16,Linear Regression finds the best-fit line by minimizing:,The absolute errors,The sum of squared residuals (errors),The maximum error,The log-likelihood,B,Pure AI
17,Lasso Regression adds which type of penalty?,L2 penalty,L1 penalty,Both L1 and L2,Logarithmic penalty,B,Pure AI
18,Adjusted R² differs from R² in that it:,Is always higher than R²,Penalizes the addition of irrelevant features,Only works for classification problems,Does not depend on the number of features,B,Pure AI
19,Logistic Regression is used for:,Predicting continuous values,Classification by estimating class probabilities,Clustering data points,Dimensionality reduction,B,Pure AI
20,What is the role of kernel functions in SVM?,To reduce the number of features,To transform data into higher-dimensional space for non-linear separation,To calculate distances between neighbors,To apply regularization,B,Pure AI
21,Accuracy is defined as:,True Positives / (True Positives + False Positives),(True Positives + True Negatives) / Total Predictions,True Positives / (True Positives + False Negatives),2 × Precision × Recall / (Precision + Recall),B,Pure AI
22,Random Search differs from Grid Search in that it:,Tries all combinations exhaustively,Samples random combinations from the hyperparameter space,Does not require specifying hyperparameters,Only works with tree-based models,B,Pure AI
23,Hyperparameters differ from model parameters because:,They are learned during training,They are set before training and not learned from data,They are always numerical,They do not affect model performance,B,Pure AI
24,"In K-Fold Cross-Validation, if K = 5, the model is trained and evaluated:",Once on 5 folds,5 times each time with a different fold as validation,10 times,Only on the first fold,B,Pure AI
25,If two models have similar performance which should generally be preferred?,The more complex model,The simpler model (Occam's Razor),The model with more hyperparameters,The model trained on more features,B,Pure AI
26,How can AI enhance CI/CD pipelines?,By replacing all developers,By predicting build failures and optimizing test prioritization,By eliminating the need for version control,By removing the deployment stage entirely,B,AI + Dev
27,How can machine learning help in log analysis for DevOps?,By compressing log files to reduce storage costs,By detecting anomalies and patterns in large volumes of log data,By converting unstructured logs into relational database tables,By replacing logging frameworks like ELK and Splunk,B,AI + Dev
28,Which ML technique is most useful for detecting performance degradation in microservices?,Time-series anomaly detection by learning normal service behavior and alerting on deviations,Linear Regression by predicting the exact number of microservices needed,One-Hot Encoding by converting service names into numerical identifiers,K-Means Clustering by grouping microservices into fixed performance tiers,A,AI + Dev
29,How does reinforcement learning contribute to resource optimization in cloud DevOps?,By labeling cloud resources based on their cost and usage history,By clustering virtual machines into groups based on CPU usage patterns,By learning optimal resource allocation strategies through trial and reward to minimize cost and maximize performance,By scheduling fixed resource upgrades at predefined monthly intervals,C,AI + Dev
30,MLOps is best described as:,A monitoring framework for tracking server uptime and latency,"A set of practices that combines ML, DevOps, and data engineering to deploy and maintain ML models in production",A containerization strategy for packaging trained models as Docker images,A version control system specifically designed for datasets and feature stores,B,AI + Dev
31,How is AI primarily used in cybersecurity threat detection?,By enforcing strict firewall rules based on static IP blacklists,By identifying anomalous patterns and behaviors in network traffic using ML models,By encrypting all data at rest and in transit using symmetric keys,By scanning systems on a fixed schedule using signature-based antivirus,B,AI + Cyber
32,Which ML algorithm is commonly used to detect credit card fraud in real-time cybersecurity systems?,Linear Regression as it predicts transaction amounts accurately,K-Means Clustering as it groups all transactions into fixed categories,Decision Trees as they only work on structured financial data,Isolation Forest as it isolates anomalous transactions that deviate from normal patterns,D,AI + Cyber
33,How does a Random Forest model contribute to phishing URL detection?,It encrypts suspicious URLs before they reach the end user,It blocks all URLs that contain more than 50 characters automatically,"It extracts features from URLs such as length, special characters, and domain age to classify them as phishing or legitimate",It compares URLs only against a static blacklist maintained by security vendors,C,AI + Cyber
34,Deepfakes pose a cybersecurity threat because they:,Inject malicious code into image and video file metadata,Bypass multi-factor authentication by cloning hardware security tokens,Use AI-generated synthetic media to impersonate individuals for fraud misinformation or social engineering,Exploit software vulnerabilities in video conferencing platforms,C,AI + Cyber
35,What is the role of clustering algorithms like K-Means in cybersecurity?,Classifying malware into predefined categories using labeled training data,Encrypting network traffic using centroid-based key generation,Enforcing access control by grouping users based on login frequency,Grouping similar network behaviors together to discover hidden attack patterns without labeled data,D,AI + Cyber
36,Which of the following is an example of using the internet but NOT the World Wide Web?,Watching a YouTube video in a browser,Sending an email via a mail client using SMTP,Reading a news article on a website,Searching for something on Google,B,Pure Web
37,A server sends raw HTML CSS and JavaScript files in response to your browser's request. Who is responsible for turning these files into a visual webpage?,The server pre-renders the page before sending it,The OS draws UI elements based on the file types received,The browser interprets and renders those files on your device,The ISP assembles the files into a visual format during transmission,C,Pure Web
38,"A user in Mumbai and a user in New York both type the same domain into their browsers at the same moment. They end up connecting to different physical servers, yet both see the identical website. Which concept best explains this?",DNS randomly assigns different IPs each time a domain is queried to balance load,Their ISPs cache a local copy of the website and serve it independently,The hosting provider runs multiple servers in different locations and DNS directs each user to the nearest one,The browser detects the user's location and rewrites the domain to point to a closer server,C,Pure Web
39,"Consider the URL https://api.vj.dev:8080/users?status=active. Which component tells the receiving system exactly which running application should handle the incoming request?",https://,api.vj.dev,:8080,?status=active,C,Pure Web
40,A website was functioning normally yesterday. Today the domain name expires. The physical server is still running perfectly. What happens when users try to visit the URL?,The site loads normally but browsers show a security warning,The server detects the expiry and automatically takes the site offline,The site remains accessible via domain but blocks new user registrations,DNS can no longer resolve the domain to an IP making the site unreachable via URL,D,Pure Web
41,After your browser receives HTML from the server it notices a CSS file and an image are also needed. What does the browser do next?,Displays the page immediately and loads CSS and images in the background silently,Waits for the user to scroll down before requesting the remaining files,Issues separate HTTP requests to the server to fetch each missing resource,Asks the OS to retrieve the files from the nearest available network cache,C,Pure Web
42,A developer pushes a new homepage to the server. Some users see the updated version immediately while others still see the old one after refreshing. What is the most likely reason?,The server is deliberately routing different users to different versions for A/B testing,The hosting provider hasn't fully replicated the update across all its machines yet,Cached data in the browser or DNS is still serving the old version to some users,Those users' ISPs are blocking the updated files due to size restrictions,C,Pure Web
43,"A website's domain resolves correctly, the server is online, and the homepage loads fine. However, clicking /about returns a 404 Not Found. What is the most accurate conclusion?",The DNS record for that specific page is missing or misconfigured,The server is reachable but no resource exists at that path,The user's browser is caching an old broken version of the link,The hosting provider has restricted access to that subdirectory,B,Pure Web
44,A site is fully accessible via HTTP but returns an error on HTTPS despite the domain and server working correctly. What is the most likely cause?,The DNS record only points HTTP traffic to the correct server IP,The server has no valid SSL certificate configured for that domain,HTTPS traffic requires a separate hosting plan that hasn't been activated,The browser is blocking HTTPS because the domain was previously flagged,B,Pure Web
45,Two packets from the same file take different paths across the internet and arrive out of order. What correctly handles reassembling them?,The home router buffers and reorders them before passing to the device,The browser detects the disorder and re-requests them in the correct order,The ISP holds all packets until the full file arrives then forwards them together,Network protocols at the destination use sequence numbers to reassemble them,D,Pure Web
46,A gamer has fast download speeds but the online game still feels unresponsive and sluggish. What is the most likely cause?,The game server is sending oversized packets that slow processing,The player's bandwidth is being shared with too many background downloads,High latency is causing delays between the player's actions and server response,The player's OS is deprioritizing the game process in favor of system tasks,C,Pure Web
47,Which network metric is most critical to a live video call's quality and which is most critical to a large file download's speed?,Bandwidth for both — video and downloads both need maximum data throughput,Latency for both — delays affect both real-time calls and download completion time,Latency for the video call; bandwidth for the download,Bandwidth for the video call; latency for the download,C,Pure Web
48,A user reports a website isn't loading. You check and every other website loads perfectly fine. Where is the problem most likely located?,The user's DNS resolver has failed for that specific domain only,The user's ISP is throttling traffic to that particular website,The user's browser has corrupted cache specifically for that site,The specific website's server is down or unreachable,D,Pure Web
49,A small e-commerce site runs on a single server. During a flash sale the site slows dramatically but doesn't crash. What is the most likely cause?,The DNS servers are overwhelmed by the spike in domain resolution requests,The ISP is throttling the site's traffic to protect local network infrastructure,The server's CPU and RAM are saturated processing too many concurrent requests,Users' browsers are sending duplicate requests multiplying the load artificially,C,Pure Web
50,A computer's hardware is present and powered on but no operating system is installed. What will happen?,The CPU executes firmware but no applications or user interaction can be processed meaningfully,The computer boots into a basic mode where commands can be typed directly to the CPU,The keyboard and display function normally since they are hardware not software-dependent,The computer restarts repeatedly until an OS is detected on an external device,A,Pure Web
51,How does a single-core CPU appear to run multiple applications simultaneously?,It duplicates itself in memory so each app gets its own virtual processor,It runs the highest-priority app fully before moving to the next one,It offloads background apps to RAM so only the active one uses the CPU,It switches between processes in milliseconds making concurrent execution feel real,D,Pure Web
52,You open a large application and your computer's hard drive starts working heavily. What is the OS most likely doing?,Pre-loading related applications it predicts you will open next,Writing application logs to disk to prevent memory overflow,Swapping data between RAM and disk because active memory is insufficient,Compressing running processes to free up CPU cycles,C,Pure Web
53,"You click a link on a webpage. What is the correct order: 1-OS allocates resources 2-Browser renders HTML/CSS/JS 3-DNS resolves domain 4-Browser sends HTTP request 5-Server responds?",3 → 4 → 5 → 2 → 1,3 → 1 → 4 → 5 → 2,1 → 3 → 4 → 5 → 2,1 → 4 → 3 → 5 → 2,C,Pure Web
54,Which operation should not run on Android's main (UI) thread due to performance issues?,Remote API request,UI element update,Frame animation rendering,Debug log printing,A,Pure Web
55,Which Android API is best for scheduling reliable background work?,WorkManager with constraints,IntentService background execution,AsyncTask short tasks,AlarmManager timed triggers,A,Pure Web
56,Which design guideline should Android apps follow?,Material Design system,Apple HIG principles,Microsoft Fluent design,Bootstrap UI patterns,A,Pure Web
57,Which framework is used for Android UI testing?,Espresso UI testing,XCTest mobile testing,JUnit unit testing,Appium cross-platform testing,A,Pure Web
58,What advantage does Android App Bundle provide?,Faster runtime execution,Smaller device-specific downloads,Built-in code obfuscation,Universal binary packaging,B,Pure Web
59,Which Context usage causes memory leaks?,ApplicationContext analytics usage,Activity context static reference,Activity context UI usage,ApplicationContext system services,B,Pure Web
60,What is the Flutter vs React Native rendering difference?,Custom engine vs native components,Main thread rendering only,WebView-based rendering,Python-based rendering,A,Pure Web
61,Injecting malicious DB queries via input fields is called?,Structured query manipulation,Database command injection,SQL injection attack,Backend query exploitation,C,Web + Cyber
62,Malicious script executed via website input is called?,Client-side script injection,Cross-site scripting attack,Browser-based code injection,Dynamic script exploitation,B,Web + Cyber
63,Password + OTP login method is known as?,Dual verification process,Multi-factor authentication,Two-step login validation,Layered identity verification,B,Web + Cyber
64,Using banking app on public Wi-Fi risk?,Network traffic interception,Man-in-the-middle attack,Data packet sniffing,Open network exploitation,B,Web + Cyber
65,Why banking apps block rooted/jailbroken devices?,Compromised system integrity,Reduced OS security layers,Elevated unauthorized access,Bypassed protection mechanisms,A,Web + Cyber
66,What does DevOps stand for?,Device operations process,Development and operations,Developer option settings,Data optimization methods,B,Web + DevOps
67,Is DevOps a tool?,Automation tool system,Culture and practices,Hardware infrastructure model,Programming language type,B,Web + DevOps
68,What happens in CI?,Malware scanning process,Code merge and test,Team communication flow,Code access restriction,B,Web + DevOps
69,Traditional vs DevOps difference?,Individual vs automation,Separate vs collaborative teams,Old vs modern storage,Hardware vs software focus,B,Web + DevOps
70,Why continuous monitoring needed?,User behavior tracking,Performance issue detection,Developer activity monitoring,Testing process removal,B,Web + DevOps
71,"A company stores customer orders in a single large table with repeated customer name, address and phone number for every order. What problem does this cause?",The table becomes too large for any database to handle,Queries will always return duplicate rows regardless of filters applied,Data redundancy leads to inconsistencies when customer details change,The database engine cannot index tables with repeated values,C,DBMS
72,A bank transfers ₹5000 from Account A to Account B. The system deducts from A but crashes before adding to B. Which database property was violated?,Consistency — the data no longer follows business rules after the operation,Atomicity — the transaction did not complete fully or roll back fully,Isolation — another transaction interfered during the transfer process,Durability — the committed changes were lost after the system restarted,B,DBMS
73,Two tables — Orders and Customers — are linked via CustomerID. A developer deletes a customer from the Customers table but their orders still exist in the Orders table. What concept should have prevented this?,Primary key constraint on the Orders table,A unique index on the CustomerID column,Foreign key constraint enforcing referential integrity,A NOT NULL constraint on the CustomerID field,C,DBMS
74,"A database query that used to return results in 0.2 seconds now takes 45 seconds after the table grew from 10,000 to 10 million rows. What is the most likely fix?",Increase the database server's RAM to hold the full table in memory,Split the table into smaller tables and query them separately,Add an index on the column being searched to avoid full table scans,Switch from SQL to a NoSQL database for better performance at scale,C,DBMS
75,"A student table has a column called ""age"" which currently stores values like ""twenty"", ""21"", and NULL across different rows. Which database concept was not enforced during data entry?",Referential integrity linking age to a valid range table,Domain constraint ensuring the column only accepts valid consistent data types,Entity integrity requiring every row to have a unique identifier,Normalization rules preventing non-numeric values in numeric columns,B,DBMS
